sku,p_type,weight
QC00707,单属性,468.0
QC00304,单属性,25.0
QC27919,单属性,41.0
QC00307,单属性,16.0
XD07423,单属性,1460.0
	1610200065411,单属性,82.0
	1616210323911,单属性,132.0
	1618210093811,单属性,23.0
	1610190017011,单属性,220.0
QC05659,单属性,769.0
	2613210036411,单属性,76.0
	1618210186111,单属性,32.0
QC28300-03,多属性,10.0
QC14968,单属性,96.0
	1610210022512,多属性,80.0
QC29323,单属性,22.0
QC06782,单属性,160.0
QC15327,单属性,9.0
	1610200026611,单属性,407.0
QC15267,单属性,12.0
QC22362,单属性,182.0
QC15476,单属性,45.0
QC14916,单属性,65.0
QC03378,单属性,11.0
QC00948-03,多属性,61.0
XD07431,单属性,1467.0
QC31984,单属性,173.0
QC21049,单属性,605.0
	1616210389911,单属性,647.0
	1618220061811,单属性,120.0
	1610210022511,多属性,80.0
	1618210186411,单属性,103.0
QC00290,单属性,53.0
QC28340,单属性,2460.0
QC00306,单属性,45.0
QC00955,单属性,206.0
	1618210183911,单属性,41.0
	1610210110111,单属性,100.0
QC28300-04,多属性,15.0
QC00375,单属性,10.0
QC15478,单属性,25.0
	10330023,多属性,1205.0
	1619220106511,多属性,168.0
	1619220106512,多属性,168.0
QC00382,单属性,30.0
	1610220059211,单属性,195.0
	1616200188511,多属性,390.0
	1610200129111,单属性,1024.0
QC03977-01,多属性,50.0
QC14993,单属性,30.0
	1610200027511,单属性,42.0
QC14923,单属性,41.0
	1610210110411,单属性,173.0
QC26689,单属性,39.0
QC27104,单属性,11.0
	2610200161611,单属性,54.0
QC11338-01,多属性,162.0
QC28300-02,多属性,10.0
	1614210105911,单属性,156.0
	1618200307411,单属性,258.0
QC29280,单属性,33.0
	1610190032511,单属性,45.0
QC00368,单属性,41.0
QC33652-02,多属性,373.0
	1610200003211,单属性,1800.0
	1616200188512,多属性,390.0
	1616200050912,多属性,1000.0
	1618190144211,单属性,15.0
QC00220,单属性,35.0
QC06727,单属性,154.0
QC11338-03,多属性,165.0
QC14861,单属性,116.0
	1611210094611,单属性,224.0
	1616200188513,多属性,390.0
	1616210333911,单属性,430.0
	1616200187711,多属性,176.0
QC15477,单属性,97.0
QC14899,单属性,74.0
	1610190067211,单属性,165.0
	1610190019412,多属性,1200.0
	1618210263311,单属性,1200.0
QC15436,单属性,56.0
QC00299,单属性,20.0
	1610200063611,单属性,167.0
	1611220002511,单属性,160.0
	1618210128911,单属性,100.0
QC00948-04,多属性,62.0
QC15909,单属性,22.0
QC15433,单属性,13.0
	1610210022513,多属性,79.0
QC00355,单属性,30.0
QC17978,单属性,335.0
QCQP45001,单属性,69.0
XD07571,单属性,537.0
	1614220007012,多属性,1000.0
	1616210231811,单属性,278.0
	1610200111111,单属性,75.0
	1610200055711,单属性,49.0
	1611210098511,单属性,247.0
	1618210183811,单属性,37.0
QC00374,单属性,45.0
QC06723,单属性,165.0
	1610190031111,单属性,45.0
	1614200078611,单属性,408.0
	1617190003711,单属性,932.0
	1613220025411,单属性,20.0
	1616210288311,单属性,222.0
	1618210085211,单属性,100.0
	1614220006711,单属性,1000.0
QC00349,单属性,25.0
QC34505,单属性,615.0
QC00948-06,多属性,64.0
QC34541,单属性,1076.0
	1610200031311,单属性,1120.0
	1610200018411,单属性,68.0
	1616190134311,单属性,172.0
	1616210233711,单属性,409.0
	1616200050914,多属性,1000.0
	1616210287911,单属性,238.0
QC00354,单属性,30.0
QC15055,单属性,107.0
QC36880,单属性,10.0
QC26603,单属性,330.0
QC37375,单属性,36.0
	10035482,多属性,670.0
	1610190067511,单属性,173.0
	1610210007812,多属性,94.0
	1610200042311,单属性,311.0
	1610200027611,单属性,10.0
	1610190032211,单属性,50.0
	1610190032111,单属性,43.0
	1616210295011,单属性,556.0
	1618200377611,单属性,335.0
	1616210229911,单属性,136.0
	1616200052611,多属性,134.0
QC15488,单属性,103.0
QC25448,单属性,187.0
QC33652-03,多属性,400.0
QC28332,单属性,180.0
QC37362,单属性,19.0
QCOT21700,单属性,804.0
	1610210007811,多属性,94.0
	1610190030211,单属性,35.0
	1610210044011,单属性,140.0
